File,Line_number,SRC
security/src/main/java/org/apache/hadoop/hbase/ipc/SecureClient.java,421,connections.remove(remoteId, this);
src/main/java/org/apache/hadoop/hbase/client/HTablePool.java,257,this.tables.remove(tableName, table);
src/main/java/org/apache/hadoop/hbase/ipc/HBaseClient.java,711,connections.remove(remoteId, this);
src/main/java/org/apache/hadoop/hbase/mapreduce/hadoopbackport/InputSampler.java,344,K[] samples = sampler.getSample(inf, job);
src/main/java/org/apache/hadoop/hbase/util/PoolMap.java,89,remove((K) key, pool.get());
src/main/java/org/apache/hadoop/hbase/util/PoolMap.java,94,public boolean remove(K key, V value) {
src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,3574,KeyValueScanner scanner = store.getScanner(scan, entry.getValue());
src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,3693,do {
src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,3694,heap.next(results, limit - results.size(), metric);
src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,3695,if (limit > 0 && results.size() == limit) {
src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,3696,return KV_LIMIT;
src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,3698,nextKv = heap.peek();
src/main/java/org/apache/hadoop/hbase/client/replication/ReplicationAdmin.java,88,throw new IOException("Unable setup the ZooKeeper connection", e);
security/src/main/java/org/apache/hadoop/hbase/ipc/SecureServer.java,620,SecureCall call = new SecureCall(id, param, this, responder, buf.length);
src/main/java/org/apache/hadoop/hbase/ipc/HBaseServer.java,207,private int maxQueueSize;
src/main/java/org/apache/hadoop/hbase/ipc/HBaseServer.java,1597,private void setupResponse(ByteArrayOutputStream response,
src/main/java/org/apache/hadoop/hbase/util/HBaseFsckRepair.java,150,rs.closeRegion(region, false);
src/main/java/org/apache/hadoop/hbase/zookeeper/ZooKeeperWatcher.java,150,this.identifier = descriptor;
src/main/java/org/apache/hadoop/hbase/zookeeper/ZooKeeperWatcher.java,347,this.identifier = this.identifier + "-0x" +
src/main/java/org/apache/hadoop/hbase/thrift/generated/AlreadyExists.java,229,return 0;
src/main/java/org/apache/hadoop/hbase/thrift/generated/BatchMutation.java,317,return 0;
src/main/java/org/apache/hadoop/hbase/thrift/generated/BatchMutation.java,440,Mutation _elem2; // optional
src/main/java/org/apache/hadoop/hbase/thrift/generated/BatchMutation.java,537,Mutation _elem7; // optional
src/main/java/org/apache/hadoop/hbase/thrift/generated/ColumnDescriptor.java,733,return 0;
src/main/java/org/apache/hadoop/hbase/thrift/generated/Hbase.java,4736,return 0;
src/main/java/org/apache/hadoop/hbase/thrift/generated/Hbase.java,5089,return 0;
