File,Line_number,SRC
tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDF2XHTML.java,146,handler.characters(" ");
tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDF2XHTML.java,56,new PDF2XHTML(handler, metadata).writeText(document, new Writer() {
tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDFParser.java,89,PDF2XHTML.process(pdfDocument, handler, metadata);
tika-core/src/main/java/org/apache/tika/metadata/Metadata.java,52,createDateFormat("yyyy-MM-dd'T'HH:mm:ss'Z'", "UTF");
tika-core/src/main/java/org/apache/tika/metadata/Metadata.java,68,createDateFormat("yyyy-MM-dd' 'HH:mm:ss'Z'", "UTF"), // UTC/Zulu
tika-parsers/src/main/java/org/apache/tika/parser/video/FLVParser.java,107,input.skip(2); // time zone
tika-parsers/src/main/java/org/apache/tika/parser/video/FLVParser.java,208,stream.skip(4); // timestamp
tika-parsers/src/main/java/org/apache/tika/parser/video/FLVParser.java,209,stream.skip(3); // streamid
tika-parsers/src/main/java/org/apache/tika/parser/video/FLVParser.java,245,for (int skiplen = 0; skiplen < datalen;) {
tika-parsers/src/main/java/org/apache/tika/parser/video/FLVParser.java,246,long currentSkipLen = datainput.skip(datalen - skiplen);
tika-parsers/src/main/java/org/apache/tika/parser/video/FLVParser.java,247,skiplen += currentSkipLen;
tika-parsers/src/main/java/org/apache/tika/parser/dwg/DWGParser.java,76,if(skipToPropertyInfoSection(stream, header)){
tika-parsers/src/main/java/org/apache/tika/parser/dwg/DWGParser.java,81,skipToPropertyInfoSection(stream, header);
tika-parsers/src/main/java/org/apache/tika/parser/dwg/DWGParser.java,82,get2007and2010Props(stream,metadata,xhtml);
tika-core/src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,19,import java.io.IOException;
tika-core/src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,26,import org.xml.sax.helpers.DefaultHandler;
tika-core/src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,32,public class WriteOutContentHandler extends DefaultHandler {
tika-core/src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,37,private final Writer writer;
tika-core/src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,50,private WriteOutContentHandler(Writer writer, int writeLimit) {
tika-core/src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,51,this.writer = writer;
tika-core/src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,113,try {
