File,Line_number,SRC
src/java/org/apache/cassandra/config/DatabaseDescriptor.java,298,throw new ConfigurationException("thrift_max_message_length_in_mb must be greater than thrift_framed_transport_size_in_mb when using TFramedTransport");
src/java/org/apache/cassandra/config/DatabaseDescriptor.java,530,return conf.thrift_max_message_length_in_mb * 1024 * 1024;
src/java/org/apache/cassandra/thrift/TBinaryProtocol.java,37,this(trans, false, true);
src/java/org/apache/cassandra/thrift/TBinaryProtocol.java,61,super(strictRead, strictWrite, readLength);
src/java/org/apache/cassandra/utils/SlabAllocator.java,57,private volatile int regionCount;
src/java/org/apache/cassandra/net/OutboundTcpConnection.java,99,writeConnected(m, id);
src/java/org/apache/cassandra/net/OutboundTcpConnection.java,130,logger.error("error writing to " + poolReference.endPoint(), e);
src/java/org/apache/cassandra/net/OutboundTcpConnection.java,132,logger.debug("error writing to " + poolReference.endPoint(), e);
src/java/org/apache/cassandra/db/ColumnFamilyStore.java,92,static
src/java/org/apache/cassandra/db/ColumnFamilyStore.java,95,StorageService.optionalTasks.scheduleWithFixedDelay(new MeteredFlusher(), 1000, 1000, TimeUnit.MILLISECONDS);
src/java/org/apache/cassandra/db/MeteredFlusher.java,36,class MeteredFlusher implements Runnable
src/java/org/apache/cassandra/service/AbstractCassandraDaemon.java,45,import org.apache.cassandra.db.ColumnFamilyStore;
src/java/org/apache/cassandra/service/AbstractCassandraDaemon.java,46,import org.apache.cassandra.db.SystemTable;
src/java/org/apache/cassandra/service/AbstractCassandraDaemon.java,47,import org.apache.cassandra.db.Table;
src/java/org/apache/cassandra/io/sstable/Descriptor.java,99,hashCode = Objects.hashCode(directory, generation, ksname, cfname);
src/java/org/apache/cassandra/io/sstable/Descriptor.java,289,return that.directory.equals(this.directory) && that.generation == this.generation && that.ksname.equals(this.ksname) && that.cfname.equals(this.cfname);
src/java/org/apache/cassandra/db/HintedHandOffManager.java,382,try
src/java/org/apache/cassandra/db/HintedHandOffManager.java,384,compact().get();
src/java/org/apache/cassandra/db/HintedHandOffManager.java,388,throw new RuntimeException(e);
src/java/org/apache/cassandra/service/AntiEntropyService.java,673,logger.info(String.format("[repair #%s] Cannot proceed on repair because a neighbor (%s) is dead: session failed", getName(), endpoint));
src/java/org/apache/cassandra/service/AntiEntropyService.java,674,return;
src/java/org/apache/cassandra/tools/NodeCmd.java,782,System.exit(0);
src/java/org/apache/cassandra/db/compaction/LazilyCompactedRow.java,95,maxTimestamp = reducer == null ? Long.MIN_VALUE : reducer.maxTimestampSeen;
src/java/org/apache/cassandra/net/OutboundTcpConnectionPool.java,65,con.closeSocket();
src/java/org/apache/cassandra/io/sstable/SSTableReader.java,341,boolean cacheLoading = keyCache != null && !keysToLoadInCache.isEmpty();
src/java/org/apache/cassandra/db/compaction/CompactionTask.java,35,import org.apache.cassandra.io.sstable.SSTable;
src/java/org/apache/cassandra/db/compaction/CompactionTask.java,36,import org.apache.cassandra.io.sstable.SSTableReader;
src/java/org/apache/cassandra/db/compaction/CompactionTask.java,37,import org.apache.cassandra.io.sstable.SSTableWriter;
src/java/org/apache/cassandra/db/compaction/CompactionTask.java,135,Map<SSTableReader, Map<DecoratedKey, Long>> cachedKeyMap =  new HashMap<SSTableReader, Map<DecoratedKey, Long>>();
src/java/org/apache/cassandra/db/compaction/CompactionTask.java,177,SSTableReader toIndex = writer.closeAndOpenReader(getMaxDataAge(toCompact));
src/java/org/apache/cassandra/db/compaction/CompactionTask.java,178,cachedKeyMap.put(toIndex, cachedKeys);
